MUNI,SchoolName,Subject,Exceeds,Meets,Partial,Fail,Total,AvgScore
Lincoln,Lincoln-Sudbury - Lincoln-Sudbury Regional High,BIO,95,201,80,8,384,516
Sudbury,Lincoln-Sudbury - Lincoln-Sudbury Regional High,BIO,95,201,80,8,384,516
Littleton,Littleton - Littleton High School,BIO,34,57,32,1,124,515
Longmeadow,Longmeadow - Longmeadow High,BIO,62,124,46,6,238,517
Lowell,Lowell - Lowell High,BIO,34,167,275,165,641,488
Lowell,Lowell - The Career Academy,BIO,0,1,0,11,12,459
Ludlow,Ludlow - Ludlow Senior High,BIO,15,81,80,24,200,498
Lunenburg,Lunenburg - Lunenburg High,BIO,9,53,29,1,92,509
Lynn,Lynn - Classical High,BIO,7,80,175,88,350,485
Lynn,Lynn - Fredrick Douglass Collegiate Academy,BIO,1,19,38,13,71,486
Lynn,Lynn - Lynn English High,BIO,11,58,148,125,342,481
Lynn,Lynn - Lynn Vocational Technical Institute,BIO,3,79,142,60,284,487
Lynnfield,Lynnfield - Lynnfield High,BIO,20,80,27,5,132,512
Malden,Malden - Malden High,BIO,31,154,158,71,414,495
Mansfield,Mansfield - Mansfield High,BIO,40,124,89,7,260,507
Marblehead,Marblehead - Marblehead High,BIO,49,94,42,6,191,515
Marlborough,Marlborough - Marlborough High,BIO,0,0,21,52,73,464
Marlborough,Marlborough - Marlborough High,PHY,9,43,92,23,167,491
Marshfield,Marshfield - Marshfield High,BIO,27,148,98,15,288,505
Mashpee,Mashpee - Mashpee Middle-High School,BIO,3,54,42,8,107,500
Maynard,Maynard - Maynard High,PHY,13,40,17,4,74,511
Medfield,Medfield - Medfield Senior High,BIO,50,102,20,1,173,521
Medford,Medford - Medford High,BIO,30,122,104,45,301,499
Medway,Medway - Medway High,BIO,24,87,27,6,144,512
Melrose,Melrose - Melrose High,BIO,36,110,64,17,227,507
Mendon,Mendon-Upton - Nipmuc Regional High,BIO,22,61,39,6,128,508
Upton,Mendon-Upton - Nipmuc Regional High,BIO,22,61,39,6,128,508
Methuen,Methuen - Methuen High,BIO,22,165,178,97,462,492
Middleborough,Middleborough - Middleborough High,BIO,8,35,31,15,89,500
Milford,Milford - Milford High,BIO,9,110,137,56,312,492
Millbury,Millbury - Millbury Junior/Senior High,BIO,3,27,62,13,105,492
Millis,Millis - Millis High School,BIO,8,38,19,1,66,510
Milton,Milton - Milton High,BIO,68,113,55,7,243,517
Monson,Monson - Monson High School,BIO,1,13,13,3,30,497
Nantucket,Nantucket - Nantucket High,BIO,19,46,32,7,104,509
Nantucket,Nantucket - Nantucket High,PHY,1,16,24,3,44,494
Natick,Natick - Natick High,PHY,130,181,89,12,412,517
Needham,Needham - Needham High,BIO,97,230,74,11,412,515
Needham,Needham - Needham High,PHY,3,5,2,0,10,511
New Bedford,New Bedford - New Bedford High,BIO,7,108,270,289,674,478
Newburyport,Newburyport - Newburyport High,BIO,33,86,58,9,186,510
Newton,Newton - Newton North High,PHY,172,230,90,20,512,518
Newton,Newton - Newton South High,PHY,181,195,59,8,443,523
North Adams,North Adams - Drury High,BIO,3,12,42,19,76,485
North Andover,North Andover - North Andover High,BIO,52,162,108,13,335,508
North Attleborough,North Attleborough - North Attleboro High,BIO,24,113,77,15,229,506
North Brookfield,North Brookfield - North Brookfield High,BIO,0,4,9,6,19,481
North Reading,North Reading - North Reading High,BIO,39,101,30,3,173,518
Northampton,Northampton - Northampton High,BIO,30,46,26,7,109,514
Northborough,Northboro-Southboro - Algonquin Regional High,BIO,85,139,45,3,272,520
Southborough,Northboro-Southboro - Algonquin Regional High,BIO,85,139,45,3,272,520
Northbridge,Northbridge - Northbridge High,BIO,6,43,72,18,139,493
Norton,Norton - Norton High,BIO,12,76,68,11,167,500
Norwell,Norwell - Norwell High,BIO,25,99,19,1,144,516
Norwood,Norwood - Norwood High,BIO,11,77,82,36,206,494
Oxford,Oxford - Oxford High,BIO,7,28,47,16,98,493
Palmer,Palmer - Palmer High,PHY,1,5,12,6,24,485
Peabody,Peabody - Peabody Veterans Memorial High,BIO,15,98,143,71,327,490
Pembroke,Pembroke - Pembroke High School,BIO,30,82,42,5,159,510
Pittsfield,Pittsfield - Pittsfield High,BIO,3,16,30,31,80,488
Pittsfield,Pittsfield - Pittsfield High,PHY,5,23,24,7,59,498
Pittsfield,Pittsfield - Taconic High,BIO,1,39,87,49,176,483
